Card Number,Card Type,Physical Card Name,Online Card Name,Physical Card Description,Online Card Description,Carbon,Money,Heart,Momentum,Super Positive,Super Negative,Physical Card Instruction,Preceeding event,Link Text,Link
2,Action,Choose Public Transit,Choose Public Transit,Public transit uses scale to reduce emissions. By taking cars off the road<c> you reduce city traffic and air pollution.,Public transit takes cars off the road<c> reduces traffic<c> and air pollution ,-1,1,0,0,0,0,,,Take Action,https://drawdown.ecochallenge.org/challenges/transport
3,Action,Eat A Plant-Rich Diet,Eat A Plant-Rich Diet,Current food production pollutes our planet. Food-chain emissions could drop 70% if we eat vegan<c> 63% for vegetarian.,Food chain emissions could drop 70% if we eat vegan<c> 63% for vegetarian,-2,0,0,1,0,0,,,Take Action,https://health.usnews.com/wellness/food/articles/best-diets-for-the-environment
4,Action,Reduce Food Waste,Reduce Food Waste,The food we waste is responsible for roughly 8% of ALL our global emissions.,The food we waste is responsible for roughly 8% of ALL our global emissions,-1,1,0,0,0,0,,,Take Action,https://www.fda.gov/food/consumers/tips-reduce-food-waste
5,Action,Recycle A/C Units,Recycle AC Units,Properly recycle A/C units. Refrigeration chemicals are 1000x more powerful than CO2 at warming the planet.,Refrigeration chemicals are 1000x more powerful than CO2 at warming the planet,-2,0,0,0,0,0,,,Take Action,https://www.thespruce.com/dispose-of-old-air-conditioner-1907551
6,Action,Switch To Bamboo,Switch To Bamboo,Stop logging virgin forests for toilet paper. Bamboo is faster growing and produces soft hygiene products.,Stop logging virgin forests for toilet paper; bamboo is fast growing and soft,-1,0,0,0,0,0,,,Take Action,https://www.amazon.com/s?k=bamboo+toilet+paper&crid=15H9SAQAKZXW3&sprefix=bamboo+toil%2Caps%2C156&ref=nb_sb_ss_i_1_11
7,Action,Give Trash A New Life,Give Trash A New Life,Repurpose trash to make furniture. Making new products from old ones takes less energy and materials.,Making new products from old ones takes less energy and materials,-1,1,1,0,0,0,,,Get Inspired,https://www.youtube.com/watch?v=zCRKvDyyHmI
8,Action,Vote Climate,Vote Climate,Depolarize climate<c> and vote for politicians who share your values<c> creating climate positive policies.,Vote for politicians who share your values and create good climate policy,0,0,1,1,0,0,,,Take Action,https://voteclimatepac.org/
9,Action,Make It Trendy,Make It Trendy,Use social media and personal influence to make climate cool again.,Use social media and personal influence to make climate cool again,0,1,1,1,0,0,,,Take action,https://www.sciencealert.com/there-s-a-massively-important-action-you-can-take-for-climate-change-today
10,Action,Turn Prayer Into Action,Turn Prayer Into Action,Unite places of worship around climate change to protect creation and those in poverty who are most affected.,Places of worship protect creation and those in poverty who are most affected,0,1,1,1,0,0,,,Take Action,https://www.interfaithpowerandlight.org/
11,Action,Educate Girls,Educate Girls,Educate girls to participate in local economies<c> strengthen families<c> and fight climate change.,Educated girls build healthier families and strengthen local economies.,0,2,1,1,0,0,,,Take Action,http://www.ungei.org/whatisungei/index_2593.html
12,Action,Improve Neighborhoods,Improve Neighborhoods,Better align the location of housing<c> jobs and services to reduce driving and lower the cost of living.,Align the location of housing<c> jobs and services; reduce driving,-2,1,0,1,0,0,,,Learn More,https://www.brookings.edu/blog/the-avenue/2019/01/15/to-save-the-planet-the-green-new-deal-needs-to-improve-urban-land-use/
13,Action,Build Daycare For All,Build Daycare For All,Create combined day care centers for elders and children<c> reconnect generations and use fewer resources.,Reconnect generations - elders and children - to use fewer resources,-1,2,0,0,0,0,,,Learn More,https://ifstudies.org/blog/toddlers-and-seniors-together-the-benefits-of-intergenerational-care
14,Action,Have Fewer Children,Have Fewer Children,With our current lifestyle<c> the more people on the planet<c> the more resources we use and the more carbon is released.,Current lifestyles mean more people on the planet produce more emissions ,-2,2,0,0,0,0,,,Learn More,https://www.biologicaldiversity.org/programs/population_and_sustainability/climate/
15,Action,Reverse Extinction,Reverse Extinction,Bring back the woolly mammoth to keep permafrost methane frozen in place.,Bring back the woolly mammoth to keep permafrost methane frozen in place,0,-1,1,1,0,0,,,Learn More,https://www.youtube.com/watch?v=MurFdzEpQbQ
16,Action,Invest In Battery Tech,Invest In Battery Tech,Renewable energy & electric cars need batteries to store energy. Better<c> cheaper batteries means more efficient energy usage.,Better<c> cheaper batteries means more efficient renewable energy usage,-2,1,0,1,0,0,,,Learn More,https://ensia.com/features/battery-innovations-renewable-energy/
17,Action,Join Community Solar,Join Community Solar,Band together with your neighbors to share the costs and benefits of solar.,Band together with your neighbors to share the costs and benefits of solar.,-2,-1,1,1,0,0,,,Learn More,https://www.nrel.gov/state-local-tribal/community-solar.html
18,Action,Sign Up For Renewables,Sign Up For Renewables,Sign up for the renewable energy program through your electric utility.,Sign up for the renewable energy program through your electric utility.,-1,1,1,1,0,0,,,Take Action,https://www.xcelenergy.com/programs_and_rebates/residential_programs_and_rebates/renewable_energy_options_residential
19,Action,Harness Your Farm's Wind,Harness Your Farm's Wind,Diversify your land use and your income with wind energy.,Diversify your land use and your income with wind energy.,-1,-1,0,0,0,0,,,Learn More,https://modernag.org/energy-conservation/farming-the-sky/
20,Action,Offset Your Emissions,Offset Your Emissions,Invest in projects that mitigate the carbon released through other activities<c> like flying.,Invest in ways to mitigate the carbon released through your other activities,-1,1,0,1,0,0,,,Take Action,https://www.green-e.org/certified-resources/carbon-offsets
21,Action,Plant Trees,Plant Trees,Restore forests in your area with native species. Trees breathe CO2 and exhale oxygen.,Restore forests in your area with native species; trees breathe CO2,-1,0,1,1,0,0,,,Take Action,https://www.afforestt.com/methodology
22,Action,Cultivate Silvopasture,Cultivate Silvopasture,Combine trees and pasture to lower cow methane emissions and sequester carbon.,Combine trees and pasture to lower cow methane emissions and sequester carbon,-2,2,0,0,0,0,,,Learn more,https://www.greenbiz.com/article/6-reasons-why-practice-silvopasture-will-help-save-modern-farming
